conversation_id,workspace_id,status,type,context,message_id,message_type,message_category,message_status,message_count,message_seq,content_role,content_type,content_message_type,message_content,request_id,message_data_tag,agent_inst_id,agent_inst_name,user_name,shop_name,image_type,secondary_label,downloaded_images,true_secondary_label
2012676658015588354,1976114002808741890,2,real,"{""thoughts"":[{""service"":""其他"",""intention"":"""",""created_at"":""2026-01-18T00:01:29.403+00:00""}],""recommend_contents"":[]}",3924692267084.PNM,question,chat,1,40,6,user,multimodal,question,"[{""type"":""image"",""text"":""图片消息"",""url"":""https://img.alicdn.com/imgextra/i2/O1CN01FKxxHZ1aWrBangvMz_!!4611686018427380794-0-amp.jpg""}]",,history,2005517408539951105,立邦官方旗舰店:昊昊,陈敏玲ling,立邦官方旗舰店,实物拍摄(含售后),孔洞,,
2012676658015588354,1976114002808741890,2,real,"{""thoughts"":[{""service"":""其他"",""intention"":"""",""created_at"":""2026-01-18T00:01:29.403+00:00""}],""recommend_contents"":[]}",3924692289362.PNM,question,chat,1,40,16,user,multimodal,question,"[{""type"":""image"",""text"":""图片消息"",""url"":""https://img.alicdn.com/imgextra/i4/O1CN01QSCpun1aWrBaeGZC7_!!4611686018427380794-0-amp.jpg""}]",,online,2005517408539951105,立邦官方旗舰店:昊昊,陈敏玲ling,立邦官方旗舰店,实物拍摄(含售后),涂鸦&污渍,,裂缝
2012676687891615745,1976114002808741890,2,real,"{""thoughts"":[{""service"":""商品咨询与推荐"",""intention"":""适用场景匹配"",""action"":""confirm_answer"",""created_at"":""2026-01-18T00:01:44.327+00:00""}],""recommend_contents"":[{""request_id"":""c860bc4aba1a9ae93ab78e75ec7ba711"",""recommend_items"":[{""id"":""674545106798"",""name"":""净味耐久免钉胶"",""link"":""https://detail.tmall.com/item.htm?id=674545106798&skuId=5897178458901"",""type"":""item""}]}]}",3934199764272.PNM,question,chat,1,17,1,user,multimodal,question,"[{""type"":""image"",""text"":""图片消息"",""url"":""https://img.alicdn.com/imgextra/i4/O1CN01itb5Co1JTn49u7s1B_!!4611686018427385894-0-amp.jpg""}]",,history,2005517408539951105,立邦官方旗舰店:昊昊,永远不变的承诺1014,立邦官方旗舰店,实物拍摄(含售后),全部未分类,,全部未分类
2012676687891615745,1976114002808741890,2,real,"{""thoughts"":[{""service"":""商品咨询与推荐"",""intention"":""适用场景匹配"",""action"":""confirm_answer"",""created_at"":""2026-01-18T00:01:44.327+00:00""}],""recommend_contents"":[{""request_id"":""c860bc4aba1a9ae93ab78e75ec7ba711"",""recommend_items"":[{""id"":""674545106798"",""name"":""净味耐久免钉胶"",""link"":""https://detail.tmall.com/item.htm?id=674545106798&skuId=5897178458901"",""type"":""item""}]}]}",3927748563670.PNM,question,chat,1,17,7,user,multimodal,question,"[{""type"":""image"",""text"":""图片消息"",""url"":""https://img.alicdn.com/imgextra/i4/O1CN01lZnsV01JTn4AJnkve_!!4611686018427385894-0-amp.jpg""}]",,history,2005517408539951105,立邦官方旗舰店:昊昊,永远不变的承诺1014,立邦官方旗舰店,实物拍摄(含售后),全部未分类,,全部未分类
2012676716064755714,1976114002808741890,2,real,"{""thoughts"":[{""service"":""商品咨询与推荐"",""intention"":""适用场景匹配"",""created_at"":""2026-01-18T00:02:00.026+00:00""}],""recommend_contents"":[{""request_id"":""4bf262246f6da55d90afe36b2b097e09"",""recommend_items"":[{""id"":""631788922639"",""name"":""星空灰可外露屋面防水"",""link"":""https://detail.tmall.com/item.htm?id=631788922639&skuId=5932166205947"",""type"":""item""}]}]}",3933875234971.PNM,question,chat,1,17,2,user,multimodal,question,"[{""type"":""image"",""text"":""图片消息"",""url"":""https://img.alicdn.com/imgextra/i1/O1CN01oBVJOa1WTs8r038sO_!!4611686018427380150-0-amp.jpg""}]",,history,2005517408539951105,立邦官方旗舰店:昊昊,邻近关节,立邦官方旗舰店,实物拍摄(含售后),起皮掉皮,,起皮掉皮
2012676716064755714,1976114002808741890,2,real,"{""thoughts"":[{""service"":""商品咨询与推荐"",""intention"":""适用场景匹配"",""created_at"":""2026-01-18T00:02:00.026+00:00""}],""recommend_contents"":[{""request_id"":""4bf262246f6da55d90afe36b2b097e09"",""recommend_items"":[{""id"":""631788922639"",""name"":""星空灰可外露屋面防水"",""link"":""https://detail.tmall.com/item.htm?id=631788922639&skuId=5932166205947"",""type"":""item""}]}]}",3933875234996.PNM,question,chat,1,17,3,user,multimodal,question,"[{""type"":""image"",""text"":""图片消息"",""url"":""https://img.alicdn.com/imgextra/i4/O1CN01X9ah3W1WTs8rnIddu_!!4611686018427380150-0-amp.jpg""}]",,history,2005517408539951105,立邦官方旗舰店:昊昊,邻近关节,立邦官方旗舰店,实物拍摄(含售后),裂缝,,裂缝
2012676716064755714,1976114002808741890,2,real,"{""thoughts"":[{""service"":""商品咨询与推荐"",""intention"":""适用场景匹配"",""created_at"":""2026-01-18T00:02:00.026+00:00""}],""recommend_contents"":[{""request_id"":""4bf262246f6da55d90afe36b2b097e09"",""recommend_items"":[{""id"":""631788922639"",""name"":""星空灰可外露屋面防水"",""link"":""https://detail.tmall.com/item.htm?id=631788922639&skuId=5932166205947"",""type"":""item""}]}]}",3934199969887.PNM,question,chat,1,17,8,user,multimodal,question,"[{""type"":""image"",""text"":""图片消息"",""url"":""https://img.alicdn.com/imgextra/i3/O1CN01gesQWu1WTs8rJ4Q1C_!!4611686018427380150-0-amp.jpg""}]",,history,2005517408539951105,立邦官方旗舰店:昊昊,邻近关节,立邦官方旗舰店,实物拍摄(含售后),起皮掉皮,,起皮掉皮
2012676716064755714,1976114002808741890,2,real,"{""thoughts"":[{""service"":""商品咨询与推荐"",""intention"":""适用场景匹配"",""created_at"":""2026-01-18T00:02:00.026+00:00""}],""recommend_contents"":[{""request_id"":""4bf262246f6da55d90afe36b2b097e09"",""recommend_items"":[{""id"":""631788922639"",""name"":""星空灰可外露屋面防水"",""link"":""https://detail.tmall.com/item.htm?id=631788922639&skuId=5932166205947"",""type"":""item""}]}]}",3934199973203.PNM,question,chat,1,17,10,user,multimodal,question,"[{""type"":""image"",""text"":""图片消息"",""url"":""https://img.alicdn.com/imgextra/i3/O1CN01C4sKpM1WTs8r07VF7_!!4611686018427380150-0-amp.jpg""}]",,history,2005517408539951105,立邦官方旗舰店:昊昊,邻近关节,立邦官方旗舰店,实物拍摄(含售后),起皮掉皮,,起皮掉皮
2012677268140019714,1976114002808741890,2,real,"{""thoughts"":[{""service"":""家装行业相关"",""intention"":""局部修缮方案咨询"",""action"":""confirm_answer"",""created_at"":""2026-01-18T00:04:02.117+00:00""}],""recommend_contents"":[{""request_id"":""3db0e227a44efcaf2f84ddccf7d3d759"",""recommend_items"":[{""id"":""662110937733"",""name"":""瓷砖空鼓剂"",""link"":""https://detail.tmall.com/item.htm?id=662110937733&skuId=5595548391837"",""type"":""item""}]}]}",3924684427504.PNM,question,chat,1,34,6,user,multimodal,question,"[{""type"":""image"",""text"":""图片消息"",""url"":""https://img.alicdn.com/imgextra/i2/O1CN01g70OyL1QdaqzGyQBc_!!4611686018427381711-0-amp.jpg""}]",,history,2005517408539951105,立邦官方旗舰店:昊昊,方国行天下,立邦官方旗舰店,实物拍摄(含售后),全部未分类,,全部未分类
2012678939297533954,1976114002808741890,2,real,"{""thoughts"":[{""service"":""商品咨询与推荐"",""intention"":""适用场景匹配"",""created_at"":""2026-01-18T00:10:47.956+00:00""},{""service"":""商品咨询与推荐"",""intention"":""适用场景匹配"",""created_at"":""2026-01-18T02:56:41.904+00:00""},{""service"":""闲聊"",""intention"":""打招呼"",""created_at"":""2026-01-18T04:41:50.078+00:00""}],""recommend_contents"":[{""request_id"":""ce2a5b63929d45c9c4a260f755dae8cc"",""recommend_items"":[{""id"":""999451562474"",""name"":""立邦犀利油污清洁慕斯"",""link"":"""",""type"":""item""},{""id"":""1004579977805"",""name"":""立邦犀利家居清洁好物"",""link"":"""",""type"":""item""}]},{""request_id"":""f86f2b07da1e9dafa68e956c5fe3411b"",""recommend_items"":[{""id"":""631617350390"",""name"":""防水抗渗补墙膏"",""link"":""https://detail.tmall.com/item.htm?id=631617350390&skuId=5076161912206"",""type"":""item""}]}]}",3927686682351.PNM,question,chat,1,40,8,user,multimodal,question,"[{""type"":""image"",""text"":""图片消息"",""url"":""https://img.alicdn.com/imgextra/i4/O1CN01yONa6n1PXoEgyCjqN_!!4611686018427384875-0-amp.jpg""}]",,history,2005531847143251970,立邦官方旗舰店:辰辰,姐不是你大爷,立邦官方旗舰店,实物拍摄(含售后),起皮掉皮,,起皮掉皮
